citation,location,lat,long,exact,collection_year,months,rep,temp,temp_units,feeding_rate,excretion_rate,fecundity,fecundity_standard_error,unit_fec,growth_rate,survival,survival_se,survival_units,food_type,food_amnt,size,size_sd,unit_size,,collected_by,Notes
"Martinez-Jeronimo, Fernando, and Claudia Ventura-Lopez. ""Population dynamics of the tropical cladoceran Ceriodaphnia rigaudi Richard, 1894 (Crustacea: Anomopoda). Effect of food type and temperature."" Journal of environmental biology 32.4 (2011): 513.",,,,,,,10,20,c,,,12,,age (d) at first reproduction,,,,,,,,,,,,error bars present but doesn't say what error is..
"Martinez-Jeronimo, Fernando, and Claudia Ventura-Lopez. ""Population dynamics of the tropical cladoceran Ceriodaphnia rigaudi Richard, 1894 (Crustacea: Anomopoda). Effect of food type and temperature."" Journal of environmental biology 32.4 (2011): 513.",,,,,,,10,20,c,,,11,,age (d) at first reproduction,,,,,,,,,,,,error bars present but doesn't say what error is..
"Martinez-Jeronimo, Fernando, and Claudia Ventura-Lopez. ""Population dynamics of the tropical cladoceran Ceriodaphnia rigaudi Richard, 1894 (Crustacea: Anomopoda). Effect of food type and temperature."" Journal of environmental biology 32.4 (2011): 513.",,,,,,,10,20,c,,,10.4,,age (d) at first reproduction,,,,,,,,,,,,error bars present but doesn't say what error is..
"Martinez-Jeronimo, Fernando, and Claudia Ventura-Lopez. ""Population dynamics of the tropical cladoceran Ceriodaphnia rigaudi Richard, 1894 (Crustacea: Anomopoda). Effect of food type and temperature."" Journal of environmental biology 32.4 (2011): 513.",,,,,,,10,25,c,,,4.5,,age (d) at first reproduction,,,,,,,,,,,,error bars present but doesn't say what error is..
"Martinez-Jeronimo, Fernando, and Claudia Ventura-Lopez. ""Population dynamics of the tropical cladoceran Ceriodaphnia rigaudi Richard, 1894 (Crustacea: Anomopoda). Effect of food type and temperature."" Journal of environmental biology 32.4 (2011): 513.",,,,,,,10,25,c,,,4,,age (d) at first reproduction,,,,,,,,,,,,error bars present but doesn't say what error is..
"Martinez-Jeronimo, Fernando, and Claudia Ventura-Lopez. ""Population dynamics of the tropical cladoceran Ceriodaphnia rigaudi Richard, 1894 (Crustacea: Anomopoda). Effect of food type and temperature."" Journal of environmental biology 32.4 (2011): 513.",,,,,,,10,25,c,,,4.8,,age (d) at first reproduction,,,,,,,,,,,,error bars present but doesn't say what error is..
"Sampaio, E. V., et al. ""Composition and abundance of zooplankton in the limnetic zone of seven reservoirs of the Paranapanema River, Brazil."" Brazilian Journal of Biology 62.3 (2002): 525-545.",Rio Pari,,,,1979,,,,,,,,,,,,,,,,,,,,,
"Sampaio, E. V., et al. ""Composition and abundance of zooplankton in the limnetic zone of seven reservoirs of the Paranapanema River, Brazil."" Brazilian Journal of Biology 62.3 (2002): 525-545.",Capivara,,,,1979,,,,,,,,,,,,,,,,,,,,,
"Sampaio, E. V., et al. ""Composition and abundance of zooplankton in the limnetic zone of seven reservoirs of the Paranapanema River, Brazil."" Brazilian Journal of Biology 62.3 (2002): 525-545.",Rio Novo,,,,1979,,,,,,,,,,,,,,,,,,,,,
Kolasa- our data,"Discovery Bay Marine Lab, Jamaic",18.468873,-77.415537,y,,,,,,,,,,,,,,,,,,,,,,
"Eldredge, Lucius G., and Scott E. Miller. ""Numbers of Hawaiian species: supplement 2, including a review of freshwater invertebrates."" Bishop Museum Occasional Papers (1997).",hawaii,21.477152,-157.94505,n,,,,,,,,,,,,,,,,,,,,,,
